### Fill Cross Sections for proton off Ar
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  224       17.58      0.3985      0.8589        1.257
  225       17.99      0.4074      0.8656        1.273
  226       18.41      0.4164      0.8726        1.289
  227       18.84      0.4254      0.8797        1.305
  228       19.28      0.4344       0.887        1.321
  229       19.72      0.4434      0.8944        1.338
  230       20.18      0.4524      0.9013        1.354
  231       20.65      0.4614      0.9071        1.368
  232       21.13      0.4704       0.913        1.383
  233       21.63      0.4795      0.9191        1.399
  234       22.13      0.4885      0.9241        1.413
  235       22.65       0.498      0.9258        1.424
  236       23.17      0.5105      0.9275        1.438
  237       23.71      0.5231      0.9292        1.452
  238       24.27      0.5356       0.931        1.467
  239       24.83      0.5482      0.9329        1.481
  240       25.41      0.5607      0.9303        1.491
  241          26      0.5733      0.9259        1.499
  242       26.61      0.5858      0.9214        1.507
  243       27.23      0.5984      0.9165        1.515
  244       27.86      0.6109      0.9113        1.522
  245       28.51      0.6235      0.9059        1.529
  246       29.17      0.6362      0.9003        1.536
  247       29.85       0.649      0.8947        1.544
  248       30.55      0.6618      0.8869        1.549
  249       31.26      0.6746      0.8784        1.553
  250       31.99      0.6875      0.8696        1.557
  251       32.73      0.7003      0.8607        1.561
  252        33.5      0.7131      0.8516        1.565
  253       34.28       0.726      0.8423        1.568
  254       35.08      0.7388      0.8331        1.572
  255       35.89      0.7517      0.8273        1.579
  256       36.73      0.7646      0.8214        1.586
  257       37.58      0.7743      0.8154         1.59
  258       38.46      0.7817      0.8092        1.591
  259       39.36      0.7891      0.8029        1.592
  260       40.27      0.7966      0.7956        1.592
  261       41.21       0.804      0.7862         1.59
  262       42.17      0.8114      0.7766        1.588
  263       43.15      0.8189      0.7668        1.586
  264       44.16      0.8263      0.7567        1.583
  265       45.19      0.8338       0.747        1.581
  266       46.24      0.8412      0.7397        1.581
  267       47.32      0.8487      0.7322        1.581
  268       48.42      0.8473      0.7245        1.572
  269       49.55      0.8447      0.7167        1.561
  270        50.7      0.8421      0.7083         1.55
  271       51.88      0.8394      0.6994        1.539
  272       53.09      0.8368      0.6903        1.527
  273       54.33      0.8342       0.681        1.515
  274       55.59      0.8315      0.6715        1.503
  275       56.89      0.8289      0.6618        1.491
  276       58.21      0.8262      0.6518        1.478
  277       59.57      0.8236      0.6417        1.465
